run,n,thread_x,thread_y,time_cpu,time_gpu
1,1000,1,1,737.8,223.3
2,1000,1,1,734.6,185.3
3,1000,1,1,731.9,186.5
1,1000,1,2,729.7,94.6
2,1000,1,2,730.5,94.9
3,1000,1,2,731.4,113.1
1,1000,1,4,729.4,50.3
2,1000,1,4,738.7,58.1
3,1000,1,4,734.6,58.1
1,1000,1,8,737.0,30.7
2,1000,1,8,736.6,30.4
3,1000,1,8,735.1,30.8
1,1000,1,16,739.2,19.4
2,1000,1,16,731.4,19.7
3,1000,1,16,736.1,19.3
1,1000,2,1,731.7,122.8
2,1000,2,1,730.6,96.7
3,1000,2,1,729.3,97.6
1,1000,2,2,736.8,49.9
2,1000,2,2,728.2,62.5
3,1000,2,2,728.6,62.4
1,1000,2,4,731.3,29.9
2,1000,2,4,730.5,29.8
3,1000,2,4,732.0,30.0
1,1000,2,8,737.6,15.7
2,1000,2,8,732.5,15.7
3,1000,2,8,737.9,15.7
1,1000,2,16,733.7,11.1
2,1000,2,16,739.8,11.1
3,1000,2,16,732.1,10.8
1,1000,4,1,731.7,65.0
2,1000,4,1,733.6,64.9
3,1000,4,1,737.9,65.0
1,1000,4,2,735.1,33.3
2,1000,4,2,732.8,35.7
3,1000,4,2,732.4,33.3
1,1000,4,4,729.1,16.2
2,1000,4,4,731.1,16.1
3,1000,4,4,734.1,16.2
1,1000,4,8,730.0,10.9
2,1000,4,8,731.2,8.3
3,1000,4,8,730.0,8.4
1,1000,4,16,733.4,6.2
2,1000,4,16,730.5,6.1
3,1000,4,16,733.3,6.5
1,1000,8,1,733.6,33.8
2,1000,8,1,732.3,35.1
3,1000,8,1,734.3,33.8
1,1000,8,2,735.5,17.6
2,1000,8,2,732.8,17.6
3,1000,8,2,730.2,17.7
1,1000,8,4,729.4,9.1
2,1000,8,4,736.7,9.3
3,1000,8,4,733.5,9.3
1,1000,8,8,727.2,5.1
2,1000,8,8,727.5,5.1
3,1000,8,8,730.1,5.5
1,1000,8,16,738.5,4.7
2,1000,8,16,733.2,5.9
3,1000,8,16,731.8,4.8
1,1000,16,1,735.7,16.5
2,1000,16,1,739.7,17.0
3,1000,16,1,737.0,16.8
1,1000,16,2,730.3,8.8
2,1000,16,2,738.3,8.8
3,1000,16,2,736.0,9.1
1,1000,16,4,733.9,5.0
2,1000,16,4,734.0,5.4
3,1000,16,4,729.5,5.1
1,1000,16,8,731.3,4.7
2,1000,16,8,734.2,4.7
3,1000,16,8,730.0,5.2
1,1000,16,16,733.3,4.7
2,1000,16,16,737.3,4.7
3,1000,16,16,731.8,5.8
