run,n,cache_trig,time
1,2000,False,0.032853
2,2000,False,0.032374
3,2000,False,0.032559
4,2000,False,0.032506
5,2000,False,0.033014
6,2000,False,0.03283
7,2000,False,0.032595
8,2000,False,0.032261
9,2000,False,0.03243
10,2000,False,0.032655
1,2000,True,0.017868
2,2000,True,0.017244
3,2000,True,0.017311
4,2000,True,0.017289
5,2000,True,0.017584
6,2000,True,0.017413
7,2000,True,0.01737
8,2000,True,0.017559
9,2000,True,0.018034
10,2000,True,0.017441
1,4000,False,0.1299
2,4000,False,0.130564
3,4000,False,0.133487
4,4000,False,0.130055
5,4000,False,0.129541
6,4000,False,0.129534
7,4000,False,0.129905
8,4000,False,0.130599
9,4000,False,0.130106
10,4000,False,0.129668
1,4000,True,0.069002
2,4000,True,0.069265
3,4000,True,0.069006
4,4000,True,0.068815
5,4000,True,0.069142
6,4000,True,0.069061
7,4000,True,0.069483
8,4000,True,0.068923
9,4000,True,0.069021
10,4000,True,0.069406
1,8000,False,0.516921
2,8000,False,0.519802
3,8000,False,0.517694
4,8000,False,0.518006
5,8000,False,0.517169
6,8000,False,0.518913
7,8000,False,0.518336
8,8000,False,0.519118
9,8000,False,0.521607
10,8000,False,0.516083
1,8000,True,0.275174
2,8000,True,0.274529
3,8000,True,0.275438
4,8000,True,0.276445
5,8000,True,0.275357
6,8000,True,0.275143
7,8000,True,0.275025
8,8000,True,0.275266
9,8000,True,0.274905
10,8000,True,0.274759
1,16000,False,2.052325
2,16000,False,2.057444
3,16000,False,2.051203
4,16000,False,2.052761
5,16000,False,2.051342
6,16000,False,2.048737
7,16000,False,2.049451
8,16000,False,2.052232
9,16000,False,2.051606
10,16000,False,2.051864
1,16000,True,1.098961
2,16000,True,1.105455
3,16000,True,1.097608
4,16000,True,1.102939
5,16000,True,1.10018
6,16000,True,1.097251
7,16000,True,1.104383
8,16000,True,1.097541
9,16000,True,1.102151
10,16000,True,1.100718
1,32000,False,8.189003
2,32000,False,8.188392
3,32000,False,8.187641
4,32000,False,8.185332
5,32000,False,8.189234
6,32000,False,8.185977
7,32000,False,8.192343
8,32000,False,8.188487
9,32000,False,8.186923
10,32000,False,8.190046
1,32000,True,4.404584
2,32000,True,4.409294
3,32000,True,4.406893
4,32000,True,4.406941
5,32000,True,4.404256
6,32000,True,4.407096
7,32000,True,4.404654
8,32000,True,4.404802
9,32000,True,4.437779
10,32000,True,4.407051
1,48000,False,18.388672
2,48000,False,18.393233
3,48000,False,18.39225
4,48000,False,18.39033
5,48000,False,18.396848
6,48000,False,18.406257
7,48000,False,18.393216
8,48000,False,18.391267
9,48000,False,18.406631
10,48000,False,18.397852
1,48000,True,9.926415
2,48000,True,9.918283
3,48000,True,9.922029
4,48000,True,9.923595
5,48000,True,9.921715
6,48000,True,9.928677
7,48000,True,9.927041
8,48000,True,9.926458
9,48000,True,9.935614
10,48000,True,9.929421
