run,resolution,thread_x,thread_y,time_gpu,ftype
1,1500,4,1,11988.0,float
2,1500,4,1,11669.0,float
3,1500,4,1,11770.0,float
4,1500,4,1,11761.0,float
5,1500,4,1,11767.0,float
6,1500,4,1,11774.0,float
7,1500,4,1,11772.0,float
8,1500,4,1,11767.0,float
9,1500,4,1,11740.0,float
10,1500,4,1,11739.0,float
1,1500,4,1,11774.0,double
2,1500,4,1,11776.0,double
3,1500,4,1,11760.0,double
4,1500,4,1,11809.0,double
5,1500,4,1,11861.0,double
6,1500,4,1,11871.0,double
7,1500,4,1,11865.0,double
8,1500,4,1,11863.0,double
9,1500,4,1,11877.0,double
10,1500,4,1,11835.0,double
1,1500,4,2,5976.0,float
2,1500,4,2,5974.0,float
3,1500,4,2,6010.0,float
4,1500,4,2,5997.0,float
5,1500,4,2,6007.0,float
6,1500,4,2,6006.0,float
7,1500,4,2,5975.0,float
8,1500,4,2,6007.0,float
9,1500,4,2,5975.0,float
10,1500,4,2,5977.0,float
1,1500,4,2,6006.0,double
2,1500,4,2,6006.0,double
3,1500,4,2,5999.0,double
4,1500,4,2,6013.0,double
5,1500,4,2,6017.0,double
6,1500,4,2,6002.0,double
7,1500,4,2,6005.0,double
8,1500,4,2,5975.0,double
9,1500,4,2,5974.0,double
10,1500,4,2,5974.0,double
1,1500,4,4,3067.0,float
2,1500,4,4,3067.0,float
3,1500,4,4,3068.0,float
4,1500,4,4,3059.0,float
5,1500,4,4,3062.0,float
6,1500,4,4,3067.0,float
7,1500,4,4,3064.0,float
8,1500,4,4,3065.0,float
9,1500,4,4,3062.0,float
10,1500,4,4,3065.0,float
1,1500,4,4,3070.0,double
2,1500,4,4,3038.0,double
3,1500,4,4,3063.0,double
4,1500,4,4,3034.0,double
5,1500,4,4,3065.0,double
6,1500,4,4,3065.0,double
7,1500,4,4,3034.0,double
8,1500,4,4,3041.0,double
9,1500,4,4,3068.0,double
10,1500,4,4,3067.0,double
1,1500,4,8,1591.0,float
2,1500,4,8,1585.0,float
3,1500,4,8,1557.0,float
4,1500,4,8,1588.0,float
5,1500,4,8,1592.0,float
6,1500,4,8,1585.0,float
7,1500,4,8,1563.0,float
8,1500,4,8,1559.0,float
9,1500,4,8,1587.0,float
10,1500,4,8,1590.0,float
1,1500,4,8,1592.0,double
2,1500,4,8,1587.0,double
3,1500,4,8,1557.0,double
4,1500,4,8,1581.0,double
5,1500,4,8,1578.0,double
6,1500,4,8,1577.0,double
7,1500,4,8,1559.0,double
8,1500,4,8,1590.0,double
9,1500,4,8,1590.0,double
10,1500,4,8,1590.0,double
1,1500,4,16,1589.0,float
2,1500,4,16,1587.0,float
3,1500,4,16,1579.0,float
4,1500,4,16,1598.0,float
5,1500,4,16,1586.0,float
6,1500,4,16,1591.0,float
7,1500,4,16,1593.0,float
8,1500,4,16,1560.0,float
9,1500,4,16,1589.0,float
10,1500,4,16,1589.0,float
1,1500,4,16,1599.0,double
2,1500,4,16,1580.0,double
3,1500,4,16,1587.0,double
4,1500,4,16,1589.0,double
5,1500,4,16,1590.0,double
6,1500,4,16,1596.0,double
7,1500,4,16,1588.0,double
8,1500,4,16,1584.0,double
9,1500,4,16,1563.0,double
10,1500,4,16,1598.0,double
1,1500,8,1,6003.0,float
2,1500,8,1,6000.0,float
3,1500,8,1,6029.0,float
4,1500,8,1,6044.0,float
5,1500,8,1,6026.0,float
6,1500,8,1,6028.0,float
7,1500,8,1,6026.0,float
8,1500,8,1,6030.0,float
9,1500,8,1,6000.0,float
10,1500,8,1,6029.0,float
1,1500,8,1,6021.0,double
2,1500,8,1,6033.0,double
3,1500,8,1,6024.0,double
4,1500,8,1,6032.0,double
5,1500,8,1,6024.0,double
6,1500,8,1,6027.0,double
7,1500,8,1,6025.0,double
8,1500,8,1,6038.0,double
9,1500,8,1,6030.0,double
10,1500,8,1,6036.0,double
1,1500,8,2,3072.0,float
2,1500,8,2,3067.0,float
3,1500,8,2,3078.0,float
4,1500,8,2,3070.0,float
5,1500,8,2,3073.0,float
6,1500,8,2,3077.0,float
7,1500,8,2,3077.0,float
8,1500,8,2,3047.0,float
9,1500,8,2,3074.0,float
10,1500,8,2,3073.0,float
1,1500,8,2,3075.0,double
2,1500,8,2,3075.0,double
3,1500,8,2,3067.0,double
4,1500,8,2,3076.0,double
5,1500,8,2,3073.0,double
6,1500,8,2,3069.0,double
7,1500,8,2,3075.0,double
8,1500,8,2,3072.0,double
9,1500,8,2,3046.0,double
10,1500,8,2,3064.0,double
1,1500,8,4,1583.0,float
2,1500,8,4,1604.0,float
3,1500,8,4,1594.0,float
4,1500,8,4,1588.0,float
5,1500,8,4,1587.0,float
6,1500,8,4,1592.0,float
7,1500,8,4,1591.0,float
8,1500,8,4,1590.0,float
9,1500,8,4,1589.0,float
10,1500,8,4,1559.0,float
1,1500,8,4,1588.0,double
2,1500,8,4,1589.0,double
3,1500,8,4,1583.0,double
4,1500,8,4,1558.0,double
5,1500,8,4,1594.0,double
6,1500,8,4,1583.0,double
7,1500,8,4,1579.0,double
8,1500,8,4,1589.0,double
9,1500,8,4,1606.0,double
10,1500,8,4,1593.0,double
1,1500,8,8,1591.0,float
2,1500,8,8,1590.0,float
3,1500,8,8,1594.0,float
4,1500,8,8,1559.0,float
5,1500,8,8,1588.0,float
6,1500,8,8,1596.0,float
7,1500,8,8,1592.0,float
8,1500,8,8,1594.0,float
9,1500,8,8,1582.0,float
10,1500,8,8,1580.0,float
1,1500,8,8,1583.0,double
2,1500,8,8,1560.0,double
3,1500,8,8,1589.0,double
4,1500,8,8,1588.0,double
5,1500,8,8,1591.0,double
6,1500,8,8,1560.0,double
7,1500,8,8,1580.0,double
8,1500,8,8,1595.0,double
9,1500,8,8,1560.0,double
10,1500,8,8,1582.0,double
1,1500,8,16,1589.0,float
2,1500,8,16,1579.0,float
3,1500,8,16,1594.0,float
4,1500,8,16,1597.0,float
5,1500,8,16,1590.0,float
6,1500,8,16,1588.0,float
7,1500,8,16,1588.0,float
8,1500,8,16,1587.0,float
9,1500,8,16,1594.0,float
10,1500,8,16,1591.0,float
1,1500,8,16,1560.0,double
2,1500,8,16,1583.0,double
3,1500,8,16,1582.0,double
4,1500,8,16,1558.0,double
5,1500,8,16,1593.0,double
6,1500,8,16,1589.0,double
7,1500,8,16,1587.0,double
8,1500,8,16,1588.0,double
9,1500,8,16,1587.0,double
10,1500,8,16,1586.0,double
1,1500,16,1,3094.0,float
2,1500,16,1,3100.0,float
3,1500,16,1,3099.0,float
4,1500,16,1,3072.0,float
5,1500,16,1,3093.0,float
6,1500,16,1,3105.0,float
7,1500,16,1,3107.0,float
8,1500,16,1,3097.0,float
9,1500,16,1,3070.0,float
10,1500,16,1,3105.0,float
1,1500,16,1,3102.0,double
2,1500,16,1,3107.0,double
3,1500,16,1,3097.0,double
4,1500,16,1,3102.0,double
5,1500,16,1,3092.0,double
6,1500,16,1,3111.0,double
7,1500,16,1,3097.0,double
8,1500,16,1,3099.0,double
9,1500,16,1,3117.0,double
10,1500,16,1,3105.0,double
1,1500,16,2,1601.0,float
2,1500,16,2,1590.0,float
3,1500,16,2,1574.0,float
4,1500,16,2,1605.0,float
5,1500,16,2,1600.0,float
6,1500,16,2,1594.0,float
7,1500,16,2,1571.0,float
8,1500,16,2,1606.0,float
9,1500,16,2,1598.0,float
10,1500,16,2,1605.0,float
1,1500,16,2,1602.0,double
2,1500,16,2,1600.0,double
3,1500,16,2,1598.0,double
4,1500,16,2,1601.0,double
5,1500,16,2,1604.0,double
6,1500,16,2,1570.0,double
7,1500,16,2,1573.0,double
8,1500,16,2,1603.0,double
9,1500,16,2,1599.0,double
10,1500,16,2,1602.0,double
1,1500,16,4,1598.0,float
2,1500,16,4,1606.0,float
3,1500,16,4,1623.0,float
4,1500,16,4,1573.0,float
5,1500,16,4,1575.0,float
6,1500,16,4,1602.0,float
7,1500,16,4,1598.0,float
8,1500,16,4,1593.0,float
9,1500,16,4,1609.0,float
10,1500,16,4,1600.0,float
1,1500,16,4,1602.0,double
2,1500,16,4,1614.0,double
3,1500,16,4,1592.0,double
4,1500,16,4,1600.0,double
5,1500,16,4,1601.0,double
6,1500,16,4,1602.0,double
7,1500,16,4,1572.0,double
8,1500,16,4,1601.0,double
9,1500,16,4,1598.0,double
10,1500,16,4,1601.0,double
1,1500,16,8,1600.0,float
2,1500,16,8,1596.0,float
3,1500,16,8,1594.0,float
4,1500,16,8,1601.0,float
5,1500,16,8,1597.0,float
6,1500,16,8,1602.0,float
7,1500,16,8,1605.0,float
8,1500,16,8,1600.0,float
9,1500,16,8,1606.0,float
10,1500,16,8,1607.0,float
1,1500,16,8,1602.0,double
2,1500,16,8,1608.0,double
3,1500,16,8,1594.0,double
4,1500,16,8,1597.0,double
5,1500,16,8,1602.0,double
6,1500,16,8,1603.0,double
7,1500,16,8,1572.0,double
8,1500,16,8,1602.0,double
9,1500,16,8,1613.0,double
10,1500,16,8,1605.0,double
1,1500,16,16,1601.0,float
2,1500,16,16,1597.0,float
3,1500,16,16,1604.0,float
4,1500,16,16,1593.0,float
5,1500,16,16,1595.0,float
6,1500,16,16,1603.0,float
7,1500,16,16,1607.0,float
8,1500,16,16,1600.0,float
9,1500,16,16,1600.0,float
10,1500,16,16,1600.0,float
1,1500,16,16,1601.0,double
2,1500,16,16,1601.0,double
3,1500,16,16,1600.0,double
4,1500,16,16,1602.0,double
5,1500,16,16,1602.0,double
6,1500,16,16,1601.0,double
7,1500,16,16,1603.0,double
8,1500,16,16,1601.0,double
9,1500,16,16,1593.0,double
10,1500,16,16,1599.0,double
