resolution,thread_x,thread_y,average_time_gpu
500,1,1,5162.3
500,1,2,2637.5
500,1,4,1369.7
500,1,8,731.3
500,1,16,400.4
500,2,1,2636.9
500,2,2,1359.4
500,2,4,721.5
500,2,8,400.6
500,2,16,232.3
500,4,1,1367.4
500,4,2,716.3
500,4,4,399.1
500,4,8,225.6
500,4,16,233.5
500,8,1,729.9
500,8,2,400.0
500,8,4,232.7
500,8,8,232.7
500,8,16,226.2
500,16,1,410.8
500,16,2,239.3
500,16,4,227.2
500,16,8,240.5
500,16,16,234.4
1000,1,1,20637.7
1000,1,2,10416.9
1000,1,4,5289.5
1000,1,8,2708.3
1000,1,16,1415.9
1000,2,1,10416.2
1000,2,2,5271.0
1000,2,4,2689.2
1000,2,8,1398.1
1000,2,16,746.9
1000,4,1,5283.9
1000,4,2,2688.7
1000,4,4,1390.6
1000,4,8,742.8
1000,4,16,742.7
1000,8,1,2712.6
1000,8,2,1396.6
1000,8,4,739.9
1000,8,8,739.1
1000,8,16,738.8
1000,16,1,1409.4
1000,16,2,744.8
1000,16,4,746.5
1000,16,8,747.9
1000,16,16,742.1
1500,1,1,46377.0
1500,1,2,23345.8
1500,1,4,11782.4
1500,1,8,5978.9
1500,1,16,3068.5
1500,2,1,23285.0
1500,2,2,11746.5
1500,2,4,5950.6
1500,2,8,3041.1
1500,2,16,1581.7
1500,4,1,11757.7
1500,4,2,5947.1
1500,4,4,3034.7
1500,4,8,1568.5
1500,4,16,1568.8
1500,8,1,5975.5
1500,8,2,3044.7
1500,8,4,1564.8
1500,8,8,1571.4
1500,8,16,1567.5
1500,16,1,3071.9
1500,16,2,1574.7
1500,16,4,1584.4
1500,16,8,1578.6
1500,16,16,1582.6
2000,1,1,81670.3
2000,1,2,41061.5
2000,1,4,20698.2
2000,1,8,10473.2
2000,1,16,5353.2
2000,2,1,41074.6
2000,2,2,20679.1
2000,2,4,10447.5
2000,2,8,5310.9
2000,2,16,2735.4
2000,4,1,20703.9
2000,4,2,10449.0
2000,4,4,5305.4
2000,4,8,2714.7
2000,4,16,2713.0
2000,8,1,10481.7
2000,8,2,5311.0
2000,8,4,2716.0
2000,8,8,2713.5
2000,8,16,2716.6
2000,16,1,5349.1
2000,16,2,2731.5
2000,16,4,2730.7
2000,16,8,2731.2
2000,16,16,2733.5
